Surname;Firstname;Email;Handicap;Result;Section;Division;Event Date;Golf Region;Golf Link Number;Phone;Home Golf Club;Host Golf Club
Smith;John;js@gm.com;2;21;A;M1;12.04.12;Gold Coast;4071400602;404135727;Lakelands;Lakelands
Brown;Chris;chrisb@gmail.com;18;40;A;M2;12.04.12;Gold Coast;4071400323;755971377;Burleigh;Lakelands
Western;Bill;js1@gm.com;26;30;A;M1;12.04.12;Gold Coast;4071400402;404135727;Lakelands;Lakelands
Adams;Donald;chri1sb@gmail.com;9;47;A;M2;12.04.12;Gold Coast;4071400327;755971377;Burleigh;Lakelands
Cook;Peter;js2@gm.com;8;13;A;M1;12.04.12;Gold Coast;4071400069;404135727;Burleigh;Lakelands
White;John;chrisb3@gmail.com;6;39;A;M2;12.04.12;Gold Coast;4071430323;755971377;Burleigh;Lakelands
Smithson;Josef;js4@gm.com;3;44;A;M1;12.04.12;Gold Coast;4071406602;404135727;Lakelands;Lakelands
Leaderson;Antuan;chrisb4@gmail.com;30;37;A;M2;12.04.12;Gold Coast;5071400323;755971377;Burleigh;Lakelands
Greenfield;Leo;js5dd@gm.com;13;36;A;M1;12.04.12;Gold Coast;4041400602;404135727;Burleigh;Lakelands
Chipstake;Mike;chrisb5@gmail.com;4;15;A;M2;12.04.12;Gold Coast;4071450623;755971377;Burleigh;Lakelands
Smith;John;js@gm.com;2;34;A;M1;12.04.13;Gold Coast;4071400602;404135727;Lakelands;Lakelands
Western;Bill;js1@gm.com;26;39;A;M1;12.04.13;Gold Coast;4071400402;404135727;Lakelands;Lakelands
Adams;Donald;chri1sb@gmail.com;9;17;A;M2;12.04.13;Gold Coast;4071400327;755971377;Burleigh;Lakelands
Cook;Peter;js2@gm.com;8;18;A;M1;12.04.13;Gold Coast;4071400069;404135727;Burleigh;Lakelands
Cork;Key;chrisb2@gmail.com;18;22;A;M2;12.04.13;Gold Coast;4071400328;755971377;Burleigh;Lakelands
White;John;chrisb3@gmail.com;16;40;A;M2;12.04.13;Gold Coast;4071430323;755971377;Burleigh;Lakelands
Smithson;Josef;js4@gm.com;3;14;A;M1;12.04.13;Gold Coast;4071406602;404135727;Lakelands;Lakelands
Leaderson;Antuan;chrisb4@gmail.com;34;37;A;M2;12.04.13;Gold Coast;5071400323;755971377;Burleigh;Lakelands
Greens;Leo;js5@gm.com;13;30;A;M1;12.04.13;Gold Coast;4041400602;404135727;Burleigh;Lakelands
Chipstake;Mike;chrisb5@gmail.com;15;30;A;M2;12.04.13;Gold Coast;4071450623;755971377;Burleigh;Lakelands
Smith;John;js@gm.com;2;20;A;M1;12.04.14;Gold Coast;4071400602;404135727;Lakelands;Lakelands
Brown;Chris;chrisb@gmail.com;18;10;A;M2;12.04.14;Gold Coast;4071400323;755971377;Burleigh;Lakelands
Western;Bill;js1@gm.com;26;20;A;M1;12.04.14;Gold Coast;4071400402;404135727;Lakelands;Lakelands
Cook;Peter;js2@gm.com;8;19;A;M1;12.04.14;Gold Coast;4071400069;404135727;Burleigh;Lakelands
Cork;Key;chrisb2@gmail.com;18;2;A;M2;12.04.14;Gold Coast;4071400328;755971377;Burleigh;Lakelands
Black;Sam;js3@gm.com;27;17;A;M1;12.04.14;Gold Coast;4071500602;404135727;Lakelands;Lakelands
White;John;chrisb3@gmail.com;6;33;A;M2;12.04.14;Gold Coast;4071430323;755971377;Burleigh;Lakelands
Smithson;Josef;js4@gm.com;3;11;A;M1;12.04.14;Gold Coast;4071406602;404135727;Lakelands;Lakelands
Leaderson;Antuan;chrisb4@gmail.com;30;27;A;M2;12.04.14;Gold Coast;5071400323;755971377;Burleigh;Lakelands
Greens;Leo;js5@gm.com;13;16;A;M1;12.04.14;Gold Coast;4041400602;404135727;Burleigh;Lakelands
Chipstake;Mike;chrisb5@gmail.com;4;25;A;M2;12.04.14;Gold Coast;4071450623;755971377;Burleigh;Lakelands
Smith;John;js@gm.com;2;34;A;M1;12.04.15;Gold Coast;4071400602;404135727;Lakelands;Lakelands
Western;Bill;js1@gm.com;26;22;A;M1;12.04.15;Gold Coast;4071400402;404135727;Lakelands;Lakelands
Adams;Donald;chri1sb@gmail.com;9;40;A;M2;12.04.15;Gold Coast;4071400327;755971377;Burleigh;Lakelands
Cook;Peter;js2@gm.com;8;37;A;M1;12.04.15;Gold Coast;4071400069;404135727;Burleigh;Lakelands
Cork;Key;chrisb2@gmail.com;18;12;A;M2;12.04.15;Gold Coast;4071400328;755971377;Burleigh;Lakelands
Black;Sam;js3@gm.com;27;37;A;M1;12.04.15;Gold Coast;4071500602;404135727;Lakelands;Lakelands
White;John;chrisb3@gmail.com;16;13;A;M2;12.04.15;Gold Coast;4071430323;755971377;Burleigh;Lakelands
Smithson;Josef;js4@gm.com;3;11;A;M1;12.04.15;Gold Coast;4071406602;404135727;Lakelands;Lakelands
Leaderson;Antuan;chrisb4@gmail.com;34;17;A;M2;12.04.15;Gold Coast;5071400323;755971377;Burleigh;Lakelands
Greens;Leo;js5@gm.com;13;20;A;M1;12.04.15;Gold Coast;4041400602;404135727;Burleigh;Lakelands
Hoggard;Mike;chrdisb5@gmail.com;15;10;A;M2;12.04.15;Gold Coast;4071450623;755971377;Burleigh;Lakelands
